stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Tower Stack\x64\Debug\allegro5.cfg r
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00000] Also searching C:\Tower Stack\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:272  al_install_system                [   0.00000] Allegro version: 5.2.11
display  I           wgl_disp.c:719  get_available_pixel_formats_ext  [   0.32697] _wglGetExtensionsStringARB 00007FF91BCA7290
display  I           wgl_disp.c:734  get_available_pixel_formats_ext  [   0.32725] Got 670 visuals.
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.32728] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.32729] Decoding visual no. 1...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.32735] Decoding:
display  I           wgl_disp.c:210  display_pixel_format             [   0.32737] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.32738] Single-buffer: yes
display  I           wgl_disp.c:215  display_pixel_format             [   0.32739] Swap method: undefined
display  I           wgl_disp.c:216  display_pixel_format             [   0.32740] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:222  display_pixel_format             [   0.32742] Depth buffer: 24 bits
display  I           wgl_disp.c:223  display_pixel_format             [   0.32743] Sample buffers: no
display  I           wgl_disp.c:224  display_pixel_format             [   0.32744] Samples: 0
display  D   display_settings.c:214  debug_display_settings           [   0.32746] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.32747] Single Buffer requirement not met.
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.32749] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.32750] Decoding visual no. 2...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.32757] Decoding:
display  I           wgl_disp.c:210  display_pixel_format             [   0.32758] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.32759] Single-buffer: yes
display  I           wgl_disp.c:215  display_pixel_format             [   0.32760] Swap method: undefined
display  I           wgl_disp.c:216  display_pixel_format             [   0.32761] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:222  display_pixel_format             [   0.32763] Depth buffer: 24 bits
display  I           wgl_disp.c:223  display_pixel_format             [   0.32764] Sample buffers: no
display  I           wgl_disp.c:224  display_pixel_format             [   0.32765] Samples: 0
display  D   display_settings.c:214  debug_display_settings           [   0.32766] color: 32 (rgba 8888), depth: 24, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.32768] Single Buffer requirement not met.
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.32769] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.32770] Decoding visual no. 3...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.32777] Decoding:
display  I           wgl_disp.c:210  display_pixel_format             [   0.32778] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.32779] Single-buffer: yes
display  I           wgl_disp.c:215  display_pixel_format             [   0.32780] Swap method: undefined
display  I           wgl_disp.c:216  display_pixel_format             [   0.32786] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:222  display_pixel_format             [   0.32788] Depth buffer: 24 bits
display  I           wgl_disp.c:223  display_pixel_format             [   0.32789] Sample buffers: no
display  I           wgl_disp.c:224  display_pixel_format             [   0.32790] Samples: 0
display  D   display_settings.c:214  debug_display_settings           [   0.32791] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.32793] Single Buffer requirement not met.
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.32794] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.32795] Decoding visual no. 4...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.32802] Decoding:
display  I           wgl_disp.c:210  display_pixel_format             [   0.32803] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.32805] Single-buffer: yes
display  I           wgl_disp.c:215  display_pixel_format             [   0.32806] Swap method: undefined
display  I           wgl_disp.c:216  display_pixel_format             [   0.32807] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:222  display_pixel_format             [   0.32808] Depth buffer: 24 bits
display  I           wgl_disp.c:223  display_pixel_format             [   0.32809] Sample buffers: no
display  I           wgl_disp.c:224  display_pixel_format             [   0.32810] Samples: 0
display  D   display_settings.c:214  debug_display_settings           [   0.32812] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.32813] Single Buffer requirement not met.
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.32814] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.32815] Decoding visual no. 5...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.32823] Decoding:
display  I           wgl_disp.c:210  display_pixel_format             [   0.32824] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.32825] Single-buffer: yes
display  I           wgl_disp.c:215  display_pixel_format             [   0.32826] Swap method: undefined
display  I           wgl_disp.c:216  display_pixel_format             [   0.32827] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:222  display_pixel_format             [   0.32828] Depth buffer: 0 bits
display  I           wgl_disp.c:223  display_pixel_format             [   0.32830] Sample buffers: no
display  I           wgl_disp.c:224  display_pixel_format             [   0.32831] Samples: 0
display  D   display_settings.c:214  debug_display_settings           [   0.32832] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.32833] Single Buffer requirement not met.
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.32835] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.32836] Decoding visual no. 6...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.32843] Decoding:
display  I           wgl_disp.c:210  display_pixel_format             [   0.32844] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.32845] Single-buffer: yes
display  I           wgl_disp.c:215  display_pixel_format             [   0.32846] Swap method: undefined
display  I           wgl_disp.c:216  display_pixel_format             [   0.32847] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:222  display_pixel_format             [   0.32851] Depth buffer: 0 bits
display  I           wgl_disp.c:223  display_pixel_format             [   0.32852] Sample buffers: no
display  I           wgl_disp.c:224  display_pixel_format             [   0.32854] Samples: 0
display  D   display_settings.c:214  debug_display_settings           [   0.32855] color: 32 (rgba 8888), depth: 0, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.32856] Single Buffer requirement not met.
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.32858] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.32859] Decoding visual no. 7...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.32866] Decoding:
display  I           wgl_disp.c:210  display_pixel_format             [   0.32867] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.32868] Single-buffer: yes
display  I           wgl_disp.c:215  display_pixel_format             [   0.32869] Swap method: undefined
display  I           wgl_disp.c:216  display_pixel_format             [   0.32870] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:222  display_pixel_format             [   0.32872] Depth buffer: 0 bits
display  I           wgl_disp.c:223  display_pixel_format             [   0.32873] Sample buffers: no
display  I           wgl_disp.c:224  display_pixel_format             [   0.32874] Samples: 0
display  D   display_settings.c:214  debug_display_settings           [   0.32875] color: 32 (rgba 8880), depth: 0, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.32876] Single Buffer requirement not met.
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.32878] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.32879] Decoding visual no. 8...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.32886] Decoding:
display  I           wgl_disp.c:210  display_pixel_format             [   0.32887] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.32888] Single-buffer: yes
display  I           wgl_disp.c:215  display_pixel_format             [   0.32889] Swap method: undefined
display  I           wgl_disp.c:216  display_pixel_format             [   0.32890] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:222  display_pixel_format             [   0.32892] Depth buffer: 0 bits
display  I           wgl_disp.c:223  display_pixel_format             [   0.32893] Sample buffers: no
display  I           wgl_disp.c:224  display_pixel_format             [   0.32894] Samples: 0
display  D   display_settings.c:214  debug_display_settings           [   0.32895] color: 32 (rgba 8888), depth: 0, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.32897] Single Buffer requirement not met.
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.32898] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.32899] Decoding visual no. 9...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.32906] Decoding:
display  I           wgl_disp.c:210  display_pixel_format             [   0.32907] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.32908] Single-buffer: no
display  I           wgl_disp.c:213  display_pixel_format             [   0.32909] Swap method: flip
display  I           wgl_disp.c:216  display_pixel_format             [   0.32910] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:222  display_pixel_format             [   0.32912] Depth buffer: 24 bits
display  I           wgl_disp.c:223  display_pixel_format             [   0.32913] Sample buffers: no
